"Number","Museum","Genus","Species","Ssp","Sex","Prep","Country","Locality1","Isl_Main","GSL_24","ROST.LEN_26","LACR.W_30","POSTORB.W_32","MASTOID_34","C1.C1_37","M3.M3_38","GLENO.L_44","MAX.TOOTH_h","DEN.L_46","LOW.TR_49","MOM1.COR_52","MOM2.ANG_53","DEN.TH_57","CON.L_60","MASS.MUSC_c","Country1","lat","lon","bio4","bio5","bio6","bio15","bio16","bio17","bioalt"
51223,"FMNH","Lasiurus","cinereus","villosissimus","F","Recent","Argentina","Buenos Aires","Main",15.69,5.68,7.71,5.42,9.73,4.06,5,1.89,4.87,12,5.92,3.39,2.54,1.76,1.43,4.25,"Argentina",-34.54954329,-58.55988709,485.739832039694,28.7999992370605,5.09999990463257,25.1337469205068,330,175,26
15745,"USNM","Lasiurus","cinereus","villosissimus","F","Recent","Argentina","Buenos Aires","Main",15.68,5.33,8.1,5.56,9.64,4.06,5,2.07,4.49,12.55,6.84,3.23,2.88,1.82,1.83,3.91,"Argentina",-34.6189117,-58.45355667,486.658956746155,28.1000003814697,5.40000009536743,21.8012539594309,337,198,28
50220,"ROM","Lasiurus","cinereus","villosissimus","M","Recent","Argentina","Capital Federal Florestra","Main",15.52,5.19,7.8,5.07,9.42,3.66,4.72,1.78,4.2,10.76,5.82,3.12,2.34,1.47,1.24,3.85,"Argentina",-34.633331,-58.483334,490.198615038414,28.5,5.19999980926514,23.5220404638725,341,190,21
59566,"LACM","Lasiurus","cinereus","villosissimus","M","Recent","Argentina","Rio Negro Prov.","Main",15.81,5.97,8.04,5.27,9.87,4.2,4.86,1.76,4.92,11.96,6.54,3.52,2.39,1.57,1.54,3.75,"Argentina",-41.9658,-71.5397,473.242363828455,23.5,-3.70000004768372,62.0069727713802,471,109,316
73665,"FMNH","Lasiurus","cinereus","villosissimus","F","Recent","Uruguay","Canelones","Main",15.8,5.95,7.89,5.33,9.87,4.09,4.72,1.84,4.75,12.29,5.75,3.48,2.91,1.75,1.68,4.22,"Uruguay",-34.73333333,-56.21666667,461.958941922277,27.2999992370605,4.59999990463257,9.00085971384906,272,236,77
76339,"ROM","Lasiurus","cinereus","villosissimus","F","Recent","Uruguay","Maronas","Main",15.64,5.78,8.22,5.5,9.86,4.15,4.87,1.84,4.69,12.19,6.2,3.61,2.82,1.84,1.71,3.94,"Uruguay",-34.85,-56.1166667,456.181428297081,26.8999996185303,4.90000009536743,8.70770153336398,257,227,40
76340,"ROM","Lasiurus","cinereus","villosissimus","M","Recent","Uruguay","Maronas","Main",15.09,5.51,7.53,5.52,9.57,3.66,4.57,1.52,4.62,11.54,6.17,3.61,2.68,1.8,1.56,3.47,"Uruguay",-34.85,-56.1166667,456.181428297081,26.8999996185303,4.90000009536743,8.70770153336398,257,227,40
73664,"FMNH","Lasiurus","cinereus","villosissimus","F","Recent","Uruguay","Monte Video","Main",16.03,5.7,7.8,5.53,9.68,4.09,5.05,1.8,4.75,12.43,6.28,3.69,2.89,1.9,1.64,3.98,"Uruguay",-34.88333333,-56.18333333,458.355935822289,26.7000007629395,5.19999980926514,9.28354492114095,253,214,26
42428,"FMNH","Lasiurus","cinereus","villosissimus","M","Recent","Uruguay","San José","Main",15.52,5.71,7.5,5.17,9.73,4.19,4.86,1.94,4.75,11.96,5.76,3.43,2.68,1.73,1.59,4.33,"Uruguay",-34.2,-57.1,478.97678920901,28.5,4.59999990463257,13.3627996945383,333,251,88
23629,"FMNH","Lasiurus","cinereus","villosissimus","F","Recent","Chile","Coquimbo","Main",15.61,6.32,7.52,5.22,9.33,3.96,4.85,1.89,4.93,12.28,5.95,3.5,2.74,1.81,1.5,3.91,"Chile",-30.01666667,-70.53333333,315.509141529366,24.5,3.70000004768372,114.913089090571,43,0,880
