Number,Museum,Genus,Species,Sex,Prep,Country,Locality1,Isl_Main,GSL_24,ROST.LEN_26,LACR.W_30,POSTORB.W_32,MASTOID_34,C1.C1_37,M3.M3_38,GLENO.L_44,MAX.TOOTH_h,DEN.L_46,LOW.TR_49,MOM1.COR_52,MOM2.ANG_53,DEN.TH_57,CON.L_60,MASS.MUSC_c,lat,lon,bio15,bio16,bio17,bio4,bio5,bio6,bioalt
51223,FMNH,Lasiurus,villosissimus,F,Recent,Argentina,Buenos Aires,Main,15.69,5.68,7.71,5.42,9.73,4.06,5,1.89,4.87,12,5.92,3.39,2.54,1.76,1.43,4.25,-34.54954329,-58.55988709,25.13374692,330,175,485.739832,28.79999924,5.099999905,26
15745,USNM,Lasiurus,villosissimus,F,Recent,Argentina,Buenos Aires,Main,15.68,5.33,8.1,5.56,9.64,4.06,5,2.07,4.49,12.55,6.84,3.23,2.88,1.82,1.83,3.91,-34.6189117,-58.45355667,21.80125396,337,198,486.6589567,28.10000038,5.400000095,28
50220,ROM,Lasiurus,villosissimus,M,Recent,Argentina,Capital Federal Florestra,Main,15.52,5.19,7.8,5.07,9.42,3.66,4.72,1.78,4.2,10.76,5.82,3.12,2.34,1.47,1.24,3.85,-34.633331,-58.483334,23.52204046,341,190,490.198615,28.5,5.199999809,21
59566,LACM,Lasiurus,villosissimus,M,Recent,Argentina,Rio Negro Prov.,Main,15.81,5.97,8.04,5.27,9.87,4.2,4.86,1.76,4.92,11.96,6.54,3.52,2.39,1.57,1.54,3.75,-41.9658,-71.5397,62.00697277,471,109,473.2423638,23.5,3.700000048,316
73665,FMNH,Lasiurus,villosissimus,F,Recent,Uruguay,Canelones,Main,15.8,5.95,7.89,5.33,9.87,4.09,4.72,1.84,4.75,12.29,5.75,3.48,2.91,1.75,1.68,4.22,-34.73333333,-56.21666667,9.000859714,272,236,461.9589419,27.29999924,4.599999905,77
76339,ROM,Lasiurus,villosissimus,F,Recent,Uruguay,Maronas,Main,15.64,5.78,8.22,5.5,9.86,4.15,4.87,1.84,4.69,12.19,6.2,3.61,2.82,1.84,1.71,3.94,-34.85,-56.1166667,8.707701533,257,227,456.1814283,26.89999962,4.900000095,40
76340,ROM,Lasiurus,villosissimus,M,Recent,Uruguay,Maronas,Main,15.09,5.51,7.53,5.52,9.57,3.66,4.57,1.52,4.62,11.54,6.17,3.61,2.68,1.8,1.56,3.47,-34.85,-56.1166667,8.707701533,257,227,456.1814283,26.89999962,4.900000095,40
73664,FMNH,Lasiurus,villosissimus,F,Recent,Uruguay,Monte Video,Main,16.03,5.7,7.8,5.53,9.68,4.09,5.05,1.8,4.75,12.43,6.28,3.69,2.89,1.9,1.64,3.98,-34.88333333,-56.18333333,9.283544921,253,214,458.3559358,26.70000076,5.199999809,26
42428,FMNH,Lasiurus,villosissimus,M,Recent,Uruguay,San Jos�,Main,15.52,5.71,7.5,5.17,9.73,4.19,4.86,1.94,4.75,11.96,5.76,3.43,2.68,1.73,1.59,4.33,-34.2,-57.1,13.36279969,333,251,478.9767892,28.5,4.599999905,88
23629,FMNH,Lasiurus,villosissimus,F,Recent,Chile,Coquimbo,Main,15.61,6.32,7.52,5.22,9.33,3.96,4.85,1.89,4.93,12.28,5.95,3.5,2.74,1.81,1.5,3.91,-30.01666667,-70.53333333,114.9130891,43,0.1,315.5091415,24.5,3.700000048,880
200367,USNM,Lasiurus,villosissimus,NA,Recent,Chile,Limache,Main,14.85,5.76,7.19,5.17,9.39,3.08,3.6,1.6,4.76,11.34,5.96,3.07,2.28,1.44,1.63,3.48,-32.99916169,-71.27018232,118.3100889,265,1,322.0883593,26.39999962,3.799999952,88
620,MNCN,Lasiurus,villosissimus,M,Recent,Chile,Maipu,Main,15.7,5.77,8.12,5.43,9.5,3.67,4.83,1.82,4.72,11.96,6.66,3.5,2.95,1.75,1.79,4.05,-33.50099893,-70.80903616,107.0595679,246,7,469.2859967,29.29999924,0.100000001,451
138161,BM,Lasiurus,villosissimus,F,Recent,Chile,Quilpue,Main,15.31,5.87,7.98,4.98,9.71,4.06,4.78,1.75,4.76,11.97,6.51,3.46,2.62,1.72,1.65,3.91,-33.05079137,-71.43430128,118.4478875,279,3,289.7830944,25.10000038,4.599999905,144
138162,BM,Lasiurus,villosissimus,F,Recent,Chile,Santiago,Main,15.04,5.82,7.82,5.05,9.47,3.88,4.72,1.7,4.61,12.15,6.57,3.46,2.71,1.77,1.65,3.72,-33.4612531,-70.6421998,104.2540435,261,8,477.5527426,29,0.699999988,549
4171,BM,Lasiurus,villosissimus,F,Recent,Chile,Santiago,Main,15.01,5.85,7.76,5.21,9.61,3.99,4.82,1.73,4.67,12.01,6.58,3.43,2.61,1.65,1.6,3.69,-33.4612531,-70.6421998,104.2540435,261,8,477.5527426,29,0.699999988,549
78685,FMNH,Lasiurus,villosissimus,F,Recent,Peru,Cuzco,Main,15.1,5.78,7.47,5.15,9.76,3.93,4.77,1.73,4.65,12.01,6.08,3.43,2.72,1.88,1.63,4.13,-13.4,-70.71666667,41.26083128,1465,548,94.3237518,27.20000076,13.19999981,1144
15128,AMNH,Lasiurus,villosissimus,F,Recent,Colombia,Bogota,Main,15,5.84,7.71,5.37,9.28,3.78,4.79,1.8,4.59,11.94,6.49,3.35,2.78,1.35,1.71,3.85,4.598056,-74.075833,46.72046757,623,256,31.43957164,18.5,8.5,2586
71356,AMNH,Lasiurus,villosissimus,NA,Recent,Colombia,Choachi,Main,15.52,6.03,7.9,5.04,9.08,3.99,4.85,1.74,4.5,11.57,6.21,3.61,2.83,1.87,1.72,3.82,4.529722,-73.923611,48.48959562,580,139,32.98300415,22.39999962,12.69999981,1886
49153,FMNH,Lasiurus,villosissimus,NA,Recent,Colombia,Tolima,Main,14.85,5.1,7.18,5.19,9.08,3.99,4.56,1.66,4.51,10.9,5.63,3.26,2.57,1.81,1.44,3.85,5.2,-74.75,48.0858116,981,318,50.06812682,32.79999924,22,246
5812,BM,Lasiurus,villosissimus,M,Recent,Paraguay,Sapucai,Main,15.01,5.38,8.14,5.47,9.68,3.8,4.69,1.73,4.37,11.61,6.22,3.51,2.81,1.54,1.62,4.13,-25.66918381,-56.95810326,27.01528997,475,238,363.0729628,31.60000038,11.69999981,167
240941,USNM,Lasiurus,villosissimus,F,Recent,Venezuela,Caracas,Main,15.73,6.22,8.21,5.3,9.47,4.03,4.79,2.04,4.42,11.08,5.92,3.52,2.77,1.96,1.83,3.76,10.45418131,-66.97208794,54.84317328,415,80,82.11226248,25.39999962,12.80000019,1331
307973,USNM,Lasiurus,villosissimus,F,Recent,Venezuela,Distrito Federal,Main,15.2,6.13,8.11,5.39,9.3,4.04,4.86,1.77,4.59,12.56,6.69,3.15,2.61,1.83,1.65,3.96,10.53481787,-66.88505144,47.00294097,367,86,81.25320637,23,10,1819
370971,USNM,Lasiurus,villosissimus,M,Recent,Venezuela,Distrito Federal,Main,14.19,5.96,7.04,5.13,9,3.7,4.39,1.78,4.28,11.44,5.88,3.41,2.51,1.75,1.52,3.82,10.53481787,-66.88505144,47.00294097,367,86,81.25320637,23,10,1819
370972,USNM,Lasiurus,villosissimus,F,Recent,Venezuela,Distrito Federal,Main,15.24,5.55,7.83,5.2,9.47,3.88,4.99,1.83,4.71,12.09,5.98,3.34,2.59,2,1.47,4.19,10.53481787,-66.88505144,47.00294097,367,86,81.25320637,23,10,1819
