Ssp,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,bio4,bio5,bio15,bio16,bio17,bioalt,lon,lat
cinereus,-0.619712882,1.738836361,0.195085172,0.028774516,0.667279994,0.955359087,0.211702402,-0.926910834,-0.661995056,0.549664187,-0.223077742,0.120846617,-0.714937331,-0.340803009,-0.340777236,-0.058032004,431.9634506,34.20000076,136.6061359,274,4,445,-110.0615313,23.81368341
cinereus,2.877834877,-0.4323479,-0.310688889,1.38875109,-0.15058178,0.483821661,0.300141591,0.453475739,-0.915730152,-1.089314505,-0.015327946,-0.697976896,0.224034373,0.783138528,-0.159502941,-0.211428418,600.0959388,28.89999962,89.9485255,241,20,2148,-108.344498,29.970841
cinereus,1.23789365,1.066388663,-0.191768237,1.736977781,1.337083777,0.142529784,-0.408584266,0.099475853,-0.094092351,-0.422085275,0.570254702,0.682001584,0.194950157,-0.602260673,0.363167071,-0.210546433,760.1654833,40.40000153,79.73740434,144,18,811,-104.49776,29.51919
cinereus,0.427468648,0.882312876,-0.473694126,-0.938592629,0.630243118,0.548899685,-0.890518623,-0.41864916,0.597203551,-0.420520372,0.812520324,-0.365981882,-0.30494411,0.186471642,-0.310177395,0.242354815,760.1654833,40.40000153,79.73740434,144,18,811,-104.49776,29.51919
cinereus,0.701862038,-0.207362514,0.479341523,0.25781528,-0.182693244,-0.473685301,1.815425842,0.541435115,0.272957065,1.073543974,0.292719662,-0.023871918,0.155314089,-0.194282804,0.549255813,-0.253804164,760.1654833,40.40000153,79.73740434,144,18,811,-104.49776,29.51919
cinereus,0.550381205,1.369793483,0.345329589,0.37510519,1.624893612,0.96211595,0.033225468,0.690788503,0.542458597,0.520813663,0.396047375,0.160037325,-0.502851908,-0.030759478,0.052290169,-0.181118288,760.1654833,40.40000153,79.73740434,144,18,811,-104.49776,29.51919
cinereus,1.78407348,-0.285833678,0.591253511,0.933411254,0.836713523,0.473585616,0.80173499,0.629619449,1.044096266,-0.364018816,0.169102498,-0.655573886,0.172494671,-0.16117965,-0.218791232,0.405426572,760.1654833,40.40000153,79.73740434,144,18,811,-104.49776,29.51919
cinereus,1.130050984,-0.758949962,0.290128478,-0.106127701,0.277058359,0.875734667,-0.334113935,-1.195999497,0.944938391,0.151434215,0.07143239,-0.777463056,-0.449714142,-0.104669695,0.024056667,0.276817533,760.1654833,40.40000153,79.73740434,144,18,811,-104.49776,29.51919
cinereus,-0.289447047,0.088872845,0.130248571,1.630102708,-0.106079382,0.361979473,-0.280167744,0.166879848,1.678839747,0.411259766,-0.261287067,-0.096980129,0.297265061,-0.470362829,0.21858052,-0.127875177,760.1654833,40.40000153,79.73740434,144,18,811,-104.49776,29.51919
cinereus,-0.923603781,1.108241357,0.592775895,0.089663251,1.538367081,0.409546769,1.084380813,0.156511807,1.045831916,0.034495841,-0.31715009,0.378867611,-0.600705032,0.393046566,0.174217921,-0.031930105,760.1654833,40.40000153,79.73740434,144,18,811,-104.49776,29.51919
cinereus,-1.939501388,1.118827047,0.477758086,-0.441194191,1.197175311,0.334772333,0.067584557,0.288350915,-0.514186543,0.760815107,0.506888227,-0.829060079,-0.856373422,0.027813166,0.96514769,0.230471974,760.1654833,40.40000153,79.73740434,144,18,811,-104.49776,29.51919
cinereus,0.687882085,-0.244331699,-0.286239084,-1.288529345,0.155517772,0.094065976,0.303004477,0.175772806,0.260857764,-0.962285573,-0.394898076,0.90679236,0.668094988,-0.803102316,0.073728044,-0.125061737,421.1285338,27.89999962,101.8502775,553,35,2450,-106.7072039,26.3522361
cinereus,0.554400541,-0.69344245,-0.145960336,-2.394946618,-0.17428243,-0.065841794,0.613411739,0.054404342,0.539092687,-0.382679611,-0.009894498,-0.270112274,0.216253445,-0.210691404,0.040663687,0.13858266,611.2016188,33.79999924,108.3367966,277,16,1434,-106.0872877,28.72566834
cinereus,1.350666123,-1.06923244,0.382999399,-0.6687469,1.229557323,-0.069657297,-0.794305206,-0.232682794,0.621930464,-0.517925247,0.098953801,0.722199472,-0.489672397,-0.303445749,-0.235201394,0.101206429,594.1220891,30.5,107.4533924,305,20,2210,-106.8165407,29.44365803
cinereus,2.872055868,1.399232111,-0.322303284,-0.619861904,0.722271559,0.781854935,-0.848663769,-0.819514115,0.33396984,-0.208864336,-0.328942969,-0.855672288,-0.309182787,-0.308485342,0.015517821,-0.209047312,557.9268498,34,64.27190694,144,28,840,-101.256541,26.531652
cinereus,3.322027733,3.057646387,10.98659861,-0.818218011,-2.421249638,-0.738878306,-1.244190205,0.17879308,-0.578492521,-0.569475939,0.014497238,0.416376815,0.424747129,0.04198246,0.052055698,-0.108915747,674.3964745,36,61.29277895,201,43,431,-101.1836,28.97925
cinereus,-0.17820649,-0.271081074,-0.256800276,-1.76805713,-0.170048991,-0.38549653,0.781425033,1.058161621,-0.125591502,0.749716301,-0.270166006,0.551261773,0.359749258,0.228209081,-0.532460675,0.361124942,358.9494315,29.60000038,105.0072884,360,12,1946,-104.7129432,24.02142991
cinereus,2.082669865,-0.183001638,0.556122347,-1.180109632,0.771212959,-1.13679908,0.31223957,-0.427699196,-0.25421569,0.3280265,-1.132884331,-0.866098733,-0.794687648,-0.896230892,-0.695527319,-0.770771667,135.0589202,26.70000076,102.5830907,765,29,2186,-99.61099011,17.55653684
cinereus,1.313407089,0.391631082,0.096985351,0.83761915,-0.183125103,0.592868392,0.847745907,-0.448359042,0.22759853,0.798458268,0.205983657,-1.122527946,0.760437099,-0.153937616,-0.659166302,0.353360998,135.0589202,26.70000076,102.5830907,765,29,2186,-99.61099011,17.55653684
cinereus,0.613941519,-1.245819224,0.346831805,2.536694792,-0.028631846,-0.456897357,-0.393186163,-0.697986393,0.20046458,-0.327015396,0.064806072,-0.039622679,0.125122834,-0.378164109,-0.318160596,0.367010636,257.1728743,31.20000076,117.4254935,646,15,1546,-103.349438,20.659538
cinereus,1.44594172,0.55665743,-0.777289254,0.615947626,-0.86381478,0.364554906,-0.431943639,0.251121899,-0.189379499,-0.613130901,-0.604147832,0.15662572,0.054167872,-0.271272951,0.073167099,0.209151497,257.1728743,31.20000076,117.4254935,646,15,1546,-103.349438,20.659538
cinereus,-0.578944228,1.107865606,0.001195872,-0.920701248,1.164111462,0.407516311,0.126831995,-0.284959073,-0.021361898,0.03850495,-0.27216969,-0.317065196,-0.708224854,-0.4068319,0.677878264,0.460717624,233.651429,25.79999924,110.918842,858,23,1622,-104.7135062,20.2718462
cinereus,-0.100942166,1.16118093,-0.096504426,0.012710083,0.075098372,0.637950683,1.652154756,-0.278660565,0.28273635,0.017810856,-0.34535822,-0.221697586,0.218452167,0.410320878,0.347689296,0.180982467,183.6307853,20.5,109.8827009,974,27,2443,-104.6912567,20.1622879
cinereus,2.018915044,1.556177518,0.365536375,-0.216336949,2.608847704,0.032887475,-0.120628006,-0.25555164,1.013650695,0.180076338,0.547221038,0.162743445,-0.086102972,-0.672245305,-0.235360479,-0.086260326,183.6307853,20.5,109.8827009,974,27,2443,-104.6912567,20.1622879
cinereus,0.976695186,0.54248238,0.352290775,0.846588978,1.602839864,-0.327102904,-0.932212931,-0.574091137,0.176031204,-0.077815069,0.746891436,-0.108735031,-0.260347264,0.208625661,-0.726883523,0.439349099,183.6307853,20.5,109.8827009,974,27,2443,-104.6912567,20.1622879
